Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
16:0 LYSO PC (M+HCOO)-	35007	9655	31374	49985	33274	26657	47898	29698	18992	34163	17528	31181	30983	24040	25596	28215	32782	47508	20210	23510	19687	31747	27878	21708	51003	23319		21071	28243	37928	592722	445549	285971	177587	273413	333309	457277	515282	346479	220686	469204	273851	564400	457894	220690	366650	563814	332994	355520	425508	383290	242976	635796	336419	266034	479425	484589	410845	396734	382295
18:0 LYSO-PE (M-H)-	123702	58778	95557	165669	130178	109511	60874	83109	100280	134313	70711	152283	112387	145186	141844	156082	145590	151213	107122	126032	78115	86712	71496	103663	185330	109232	31952	77676	156860	102841	1081084	527451	159137	64474	247439	159111	364022	537854	174897	85596	388724	119792	1113762	716323	127580	290810	702945	202968	227341	515739	279672	85759	1655754	189919	181366	435114	473925	370102	283551	258437
2_4-DIHYDROXYPTERIDINE (M-H)-																																	1405	18634	34118	32799	20556	4289	21874	1428				7986	33595	23363			3009					19645	34967	26715			1946	14973
2-DEOXY-D-GLUCOSE (M+Cl)-	9823	10683	5376	11852	8019	8687	12143	10540	17966	12606	22526	3159		14477	8119			3954	8136	4888	17307	13567	11787	25848	16771	7051	15115	7614	9920	9511	88928	110539	90628	142234	83603	92354	28041	110342	107954	135412	90284	102905	130734	178479	77965	78362		103835	37246	136841	127998	116946	9610	114915	95601	84168	17815	95822	122616	78786
2-HYDROXY-3-METHYLBUTYRIC ACID (M-H)-	55086	9283	18060	23020	28712	37486	9093	22059	31473	62778	34873	28255	12933	24026	27713	39400	39239	24687	26608	42039	31564	16407	14646	23965	61413	15014	6859		39345	40405	825521	580050	655111	642576	936310	548567	929040	645539	897186	908383	1432654	903719	625775	640969	1151809	623555	731121	451021	731019	573743	1010364	694031	375217	641633	1085672	642726	887624	601532	830927	885669
2-OXOADIPIC ACID (M-H)-	61393			3999	12694	3286			21796				4982					2888						2542	10255					30658																														
3-(4-HYDROXYPHENYL)LACTIC ACID (M-H)-	12440	5083	7600	11878	13246	19915		7168	12385	25372	7414	19994	11576	14659	8403	28754	13132	15206	18488	18011	9140	7834	9569	11550	19384	11960	1747	8507	16889	20301	367449	49724	48186	29561	40557	28269	260675	16326	28696	24734	34518	56696	58040	40371	34753	26580	26965	21107	37654		213760	61340	59306	36566	122103	36954	37344	144549	34628	30928
3-DEHYDROSHIKIMIC ACID (M-H)-						50465	25412	138197					82092				174615	185066					2518				17337	87029	11780	54099																														
3-HYDROXY-3-METHYLGLUTARIC ACID (M-H)-	14614			2756	9685	11765				17940		6994	8793	4632		12743	8981	11509		17612			5391		15263					18906	97709	91036	135416	108949	89194	86072	74967	156025	117520	86432	82718	126649	47845	98600	127700	114444	138757	139551	98325	101646	117092	116797		78023	123507	108481	123026	127807	74979	115017
3-METHYLXANTHINE (M-H)-								4465		7745																																																		
4-HYDROXYBENZOIC ACID (M-H)-	83067	64331	242108	80692	38051	28211	24950	208456	182069	142853	35635	70172	3531	57982	146419	76397	55000	159212	148418	68430	3638	100957	3316	47709	196684	50034	14640	131550	114128	68353		4782	37398							11600	35344	41620			2669	5755									13944					14919
4-NITROPHENOL (M-H)-	102810	86743	112777	92542	94712	85574	17351	83775	98951	84604	96857	88034	89690	93977	92172	97450	95359	92355	96182	169556	98596	99306	90154	93559	96184	93329	19158	88790	91918	89902	53444	46202	48397	38753	49783	49558	51097	52215	54931	45133	50848	60260	48869	48676	49417	48985	45752	46414	58809	53340	43828	52374	56315	42507	49795	51221	49702	52213	48918	48244
4-PYRIDOXIC ACID (M-H)-																															100094	51254	46933	159402	68757	33229	98991	54382	74620	72553	71537	53365	39089	124718	68520	39875	100336	103305	79851	133393	48675	69547	82696	118349	55904	68306	86419	103324	78899	118646
5^-METHYLTHIOADENOSINE (M+Cl)-	4287	2239	3234	3477	5301	3109		5840	4884	4955	3849	4549	4895	5475	4873	5688	8007	6908	3417	4959	2841	1930	2464	3099	6523	4091		2555	3163	3876																														
5-OXOPROLINE (M-H)-	276319	110413	220372	197853	233615	237813	148821	226915	225837	311603		568309	253636	435393	349347	243773	235790	383762	233038	363281	228323	187039	192205	138130	261191	152222	66246	373584	658617	182006																														
ADIPIC ACID (M-H)-	16225	15830	19427	21730	23815	21006	3176	17510	16937	17650	23311	7423	21882	23482	15179	15226	18546	20070	18669	20620	18196	18093	16337	22035	17469	17995	2735	20044	22222	2508	13286	21707	35788	27785	8964	14151	30222	29393	13821	24483	8828	20361	28629	16644	12382	10276	24758	32915	12789	2070	18246	19684	30738	12672	10804	12265	17932	34718	17923	18318
ALPHA-HYDROXYISOBUTYRIC ACID (M-H)-	31551		27552	19329	23680	24995		16687	23019	45506		24101	12833	19604	18155	38195	37175	17961	19854	29212	27377	16102	15549	21766	46865	14917		13264	20393	52079	279013	213291	332406	212991	336258	262432	501912	217399	251737	388039	309247	382132	233521	52680	327579	211724	426299	195204	277659	359854	243323	197178	161350	213885	334415	290269	478838	173102	179344	407875
ALPHA-KETO-GLUTARIC ACID (M-H)-	350365	48304		217553		270744	550161	817923		267426		90816	656323	257630		392854	905736	916883	387377	299790			324427	441689		44833	607525	707143	479243	606842																														
ALPHA-LINOLENIC ACID (M+HCOO)-	43426	96930	57956	54421	65786	75807	76515	52554	55105	35191	55176	48464	75547	27738	59102	26746	43703	47537	62176	85748	65925	55213	78426	38528	19429	64120	49622	61311	30791	55951	146653	174740	181601	85487	362531	244462	205274	224813	239812	228708	104421	205674	117818	123068	285235	147587	153745	279796	234160	234192	239967	154983	65684	221322	430575	109741	180404	364775	228526	294947
ARACHIDIC ACID (M-H)-	16098	21687	16277	13152	11511	14756	8418	9949	11862	9627	13430	16181	17550	9889	10331	8016	10881	11691	18600	20595	17170	12974	14399	9353	6580	12242	4381	9746	9785	15577	30869	16520	12775	7185	15964	19468	22315	20009	21595	13276	30799	17165	30587	33076	15689	17653	38476	21858	24539	29902	23202	10127	27514	22248	21412	13685	20467	29835	27373	25086
ARACHIDONIC ACID (M-H)-	231213	158092	173400	158215	164812	222352	71451	202670	231773	238426	121886	255566	209933	165517	114518	192148	174766	202661	96454	241823	277292	220400	214816	105377	155846	131328	62574	84617	97870	263071	2725087	1276098	1018952	364186	783589	1095877	1942708	1409062	780634	386350	1624891	979968	2290831	1257751	532531	1975447	3237494	830622	944845	759411	1832813	494891	1893261	571321	779996	2290783	2740578	1323311	785460	761122
AZELAIC ACID (M-H)-	72450	23254	28029	29528	40745	28252	14583	18718	24425	31975	30626	56569	29402	43729	29636	18567	47935	32273	31047	45337	47962	29292	32707	25570	41260	23813	10668	33671	74490	20642	10013	15094	10215	19580	18434	10245	14806	21146	7043	14039	18151	10712	14858	15286	9588	15552	11834	9518	16051	14968	15530	15742	22920	9506	6472	15257	14004	13998	15061	17634
BEHENIC ACID (M-H)-	15790	17628	18526	11652	10491	12084	4962	11625	13070	13963	10216	15237	14238	10644	8826	8973	13415	11239	15304	17608	14991	13400	11086	9538	10229	12475	2287	8007		15233	12669	9831	5486	4398	8329	11127	12320	11610	8860	6707	10457	8998	13240	13564	6061	12517	19857	10237	9639	13974	8398	6272	10837	10134	7296	10760	10897	12999	10108	11228
BENZOIC ACID (M-H)-	35196	14563	31589	19727	20042	21515	10154	44845	28936	27575	23537	20999	21939	26934	29392	33110	23866	23550	26851	41770	18016	26896	18185	44553	27941	16737	13495	26722	34075	30761	29247	23438	23353	7644	21201	27882	29063	23081	16272	10832	12706	20576	28536	9449	14566	36377	25649	18409	17399	16558	21505	27312	18597	7645	17475	29069	24002	20991	14153	10807
BILIVERDIN (M-H)-																															22942		8623	6258	20650	10061	10703	11172	5509	3823	12949	10912	12147	9376	7548	16193	9985	4369	5519	3187	8514	10770	5969	8138	7670	13243	10728	4229		2857
CARNOSINE (M-H)-	46187	57135	57018	43155	41619	43304	222894	35455	31334	34356	200878	42204	114187	58416	55173	10354	29687	32021	32662	152486	100276	67727	35027	45730	8950	43047	242009	39620	23908	43734																														
CHOLIC ACID (M-H)-																															4853		3910	1686	2213	32159	5606	74043	2849	2622	1406		53579	4224		1639		34372	43649	102216		4216	107073	1967		1907	8470	14840	3113	6762
CIS-11-EICOSENOIC ACID (M-H)-	31507	29329	17678	10435	9868	16579	3320	8231	12642	23518	6516	23724	20594	10142	10396	7512	8688	5982	7625	37180	16195	15349	19589	7802	12256	4825	2589	4630	7779	35156	1216259	871777	244040	27825	569262	348266	402674	1130952	338179	145253	1537272	333648	2324946	1401221	485062	1066548	1495820	507490	567388	917617	677953	70780	1717774	408083	582134	705793	551266	729678	410478	650087
CIS-7_10_13_16-DOCOSATETRAENOIC ACID (M+HCOO)-	6841	11995	5957	3843	4230	6684		4353	4404	4965	2679	5728	7733	1736	4716	1834	2830	2916	3101	8395	5200	4726	6908	3267	1253	3463		3171	2376	7218																														
CITRAMALIC ACID (M-H)-	29336									14336					14827			41150		27580					25173				7891		153677	110099	68699	97593	75944	138015	193377	123868	84803	73617	92644	76613	128120	110958	100327	123823	174707	83879	111398	93075	99002	164152	128015	58505	81435	220780	324711	107836	80761	44938
CITRIC ACID (M-H)-	54728	84397	115165	33422	138226	183354	40815	131700	120897	53457	11571	67218	230410	123967	117271	81139	169081	155222	132060	160400	100890	63771	11826	60647	128037	104947	24919	78985	106372	38464	1573543	2401375	2136165	2744446	3257802	2973789	1929237	2261005	1463796	1969676	2097594	2004768	2749649	2327813	2548546	7566512	2472563	2316995	1823866	1622286	3034337	2438919	1993569	1628697	2324768	2430942	1411860	2505619	2166415	2049349
CORTICOSTERONE (M+Cl)-																															1720			2705	5549		1165	6162	1566				3117		5988	2941		12276			1253	2464	2243			2358	2880	16423		
CORTISOL (M+Cl)-																															145051	144534	135851	161470	292358	80199	144739	204596	136372	111168	75218	128924	152212	93921	298714	149359	136408	183360	129177	155909	82075	165202	180741	60367	153301	145298	181684	211483	69577	110578
CORTISOL (M+HCOO)-	16729	4366	12547	5895	9844	7532	3884	6859	10010	23593	5493	20439	12761	12874	10642	23572	19438	10751	5868	11484	5586	8146	14327	10529	19793	4705	3595	4333	13603	19049																														
CORTISONE (M+Cl)-	11012	4177	6765	6831	6080	8110	2985	5287	9200	13147	4867	9629	7372	10446	4939	12641	10730	9439	8532	8624	8544	6810	9897	6375	10159	5825	3230	4379	10771	10951	59386	39277	48117	42501	60182	51033	55993	38703	50192	40299	47520	54406	37027	27384	55251	48380	58993	37395	47850	47583	24448	45488	57727	27490	44118	50372	52015	39476	41466	44065
CREATINE (M-H)-	6182	33700	25866	34172	6139	11434	70804	25985	6007	21881	40407	9546	23234	5361	26285	24941	18389	22755	4603	25140	43280	35433	41762	33765	26896	48698	64020	43872	27873	24866																														
DEHYDROASCORBIC ACID (M-H)-																															164371	144731	140415	69457	170157	145918	239775	143958	123179	132862	86231	164391	258807	191803	179826	145504	142328	182007	139058	143932	96678	157483	204962	146839	187257	134289	167128	177702	133408	106248
DEOXYURIDINE (M+Cl)-																															67680	39027	38888	32414	45858	47949	42040	49860	49917	45164	61018	39692	47216	37695	34651	49582	40130	38226	53758	55607	40660	26606	52910	37457	40807	52858	38418	56035	58888	58354
DOCOSAHEXAENOIC ACID (M-H)-	25860	15886	10659	26540	33200	65075	7883	25273	34599	24755	15255	29683	51671	23038	16754	26547	14319	24343	18771	28542	31215	12298	44693	12252	19265	24782	8102	12637		36785	1232394	566440	629040	275693	751296	673582	576749	806668	532778	192639	766621	577779	1561412	1082062	602138	1307084	949286	395131	633730	352293	787587	204667	1281859	391527	854786	1170288	724662	618024	482142	379061
EPIBRASSINOLIDE [ISTD] (M+HCOO)-																															2887242	2437111	2368696	2104331	2413945	2341048	2314985	2494494	2238990	2048562	2790420	2692100	2868915	2794218	2340974	2265915	2172341	2267958	2446939	2463362	2302845	2445340	3384599	2331319	2121007	2743383	2383012	2339524	2326204	2186699
ERUCIC ACID (M-H)-	16218	15205	9567	7844	7875	12338	2533	7276	10259	10014	7756	16010	10875	7813	7215	8273	8599	8821	10968	13136	11896	9581	10916	6476	8603	8824		6377	7549	11933	30604	21782	16631	6941	21832	17410	18118	20633	18066	16315	34047	20676	28762	29775	20959	18337	29585	18500	20469	25325	21851	11869	30504	20356	28874	15057	18542	25152	21319	29522
FUMARIC ACID (2M-H)-	59876	4346		47693	40072	50023	28495	50547	57226	36483		55727	39877	38227	42742	63387	77300	68031	76377	50255	34650	31934	11068	54108	16226	82752	10126	59056	67724																															
FUMARIC ACID (M-H)-	387031	108565	265608	398510	384068	256978	210983	421025	499429	284146	139827	415398	306777	323860	396816	343470	373846	480235	465347	450928	204280	277330	233227	467944	346362	354918	123987	470052	338620	322489																														
GLUCONIC ACID (M-H)-	21994	11522	86753	17887	24947		37732	18362	27992						23036			13343			24254		12258	14641	21948		53152			17076																														
GLUCOSE (M+Cl)-																																841053	88045	94800	938635	126603	99968	111514	1114952					709688	845001	115845	117892	1122791		137579	140681	879857	59405	121783	819639	776512	139883			
GLUTATHIONE (OXIDIZED) (M-H)-	75717	61639	86509	110119	96198	69769		99199	68000	127517	36614	104229	120902	182268	93031	152731	178863	185275	87353	63938	66148	66573	82266	56075	229356	55175		92556	76392	102843																														
GLYCERIC ACID (M-H)-	65320	62319	47892	48187	76838	35355	26556	81954	85254	61781	59962		32289	25247	65304	21856	24385	29663	52612	47555	90791	55986	47837	64946	101717	31531	39511	28938	24038	72610																														
